Company Names,Cars Names,Engines,CC/Battery Capacity,HorsePower,Total Speed,Performance(0 - 100 )KM/H,Cars Prices,Fuel Types,Seats,Torque,Cluster,Price Range
MERCEDES, GT 63 S,V8,3982.0,630.0,250.0,3.2,161000.0,Petrol,4,900.0,1,High (100k-200k)
AUDI,AUDI R8 Gt,V10,5204.0,602.0,320.0,3.6,253290.0,Petrol,2,560.0,1,Luxury (>200k)
ASTON MARTIN,VANTAGE F1,V8,3982.0,656.0,314.0,3.6,193440.0,Petrol,2,685.0,1,High (100k-200k)
BENTLEY,Continental GT Azure,V8,3996.0,550.0,318.0,4.0,311000.0,Petrol,4,900.0,1,Luxury (>200k)
FERRARI,F8 TRIBUTO,V8,3900.0,710.0,340.0,2.9,280000.0,Petrol,2,770.0,1,Luxury (>200k)
FERRARI,PORTOFINO,V8,3900.0,592.0,320.0,3.2,210000.0,Petrol,22,760.0,1,Luxury (>200k)
FERRARI,ROMA,V8,3900.0,612.0,320.0,3.4,230000.0,Petrol,22,760.0,1,Luxury (>200k)
FERRARI,F8 SPIDER,V8,3900.0,710.0,340.0,2.9,280000.0,Petrol,2,770.0,1,Luxury (>200k)
FERRARI,PORTOFINO M,V8,3900.0,612.0,320.0,3.2,220000.0,Petrol,22,760.0,1,Luxury (>200k)
FERRARI,ROMA SPIDER,V8,3900.0,612.0,320.0,3.4,240000.0,Petrol,22,760.0,1,Luxury (>200k)
TOYOTA,GR SUPRA,I4,2998.0,382.0,250.0,4.1,53900.0,Petrol,2,500.0,0,Medium (50k-100k)
TOYOTA,TOYOTA 86,BOXER-4,1998.0,205.0,226.0,6.4,27000.0,Petrol,22,205.0,2,Low (<50k)
TOYOTA,TOYOTA  GR86,BOXER-4,2387.0,228.0,226.0,5.6,30000.0,Petrol,4,250.0,0,Low (<50k)
TOYOTA,TOYOTA LAND CRUISER,V8,5663.0,381.0,220.0,6.7,85000.0,Diesel,7,500.0,0,Medium (50k-100k)
TOYOTA,TOYOTA SEQUOIA,V8,5663.0,381.0,200.0,6.9,50000.0,Petrol,7,651.0,0,Low (<50k)
NISSAN,GT-R,V6,3799.0,600.0,315.0,2.9,113000.0,Petrol,4,637.0,1,High (100k-200k)
NISSAN,370Z,V6,3696.0,332.0,250.0,4.7,30000.0,Petrol,2,366.0,0,Low (<50k)
NISSAN,Z PROTO,V6,2998.0,400.0,290.0,4.1,40000.0,Petrol,2,475.0,0,Low (<50k)
NISSAN,ALTIMA,I4,2488.0,188.0,225.0,7.3,25000.0,Petrol,5,380.0,0,Low (<50k)
NISSAN,MAXIMA,V6,3498.0,300.0,240.0,5.8,35000.0,Petrol,5,354.0,0,Low (<50k)
NISSAN,SENTRA,I4,1998.0,149.0,200.0,8.2,20000.0,Petrol,5,240.0,2,Low (<50k)
NISSAN,ROGUE,I4,2488.0,201.0,200.0,7.5,28000.0,Petrol,5,270.0,2,Low (<50k)
NISSAN,PATHFINDER,V6,3498.0,284.0,225.0,6.5,35000.0,Petrol,7,351.0,0,Low (<50k)
NISSAN,FRONTIER,V6,3799.0,310.0,180.0,6.8,30000.0,Petrol,5,381.0,0,Low (<50k)
NISSAN,TITAN,V8,5598.0,400.0,200.0,5.9,40000.0,Petrol,5,560.0,0,Low (<50k)
ASTON MARTIN,DBS SUPERLEGGERA,V12,5204.0,715.0,340.0,3.4,316000.0,Petrol,2,900.0,1,Luxury (>200k)
ASTON MARTIN,DB11,V12,5204.0,600.0,322.0,3.9,208000.0,Petrol,4,700.0,1,Luxury (>200k)
ASTON MARTIN,VANTAGE ,V8,3996.0,503.0,313.0,3.6,142000.0,Petrol,2,685.0,1,High (100k-200k)
ASTON MARTIN,DBX,V8,3996.0,542.0,291.0,4.5,189000.0,Petrol,5,700.0,1,High (100k-200k)
ASTON MARTIN,RAPIDE AMR,V12,5935.0,580.0,328.0,4.2,240000.0,Petrol,4,630.0,1,Luxury (>200k)
ASTON MARTIN,VANQUISH,V12,5935.0,580.0,324.0,3.6,294000.0,Petrol,2,630.0,1,Luxury (>200k)
LAMBORGHINI,HURACAN PERFORMANTE,V10,5204.0,640.0,325.0,2.9,274000.0,Petrol,2,600.0,1,Luxury (>200k)
LAMBORGHINI,HURACAN EVO,V10,5204.0,640.0,325.0,2.9,261000.0,Petrol,2,600.0,1,Luxury (>200k)
LAMBORGHINI,URUS ,V8,3996.0,641.0,305.0,3.6,211000.0,Petrol,5,850.0,1,Luxury (>200k)
LAMBORGHINI,HURACAN SPYDER,V10,5204.0,610.0,325.0,3.4,287000.0,Petrol,2,600.0,1,Luxury (>200k)
LAMBORGHINI,HURACAN  PERFORMANTE SPYDER,V10,5204.0,640.0,325.0,3.1,308000.0,Petrol,2,600.0,1,Luxury (>200k)
LAMBORGHINI,HURACAN EVO SPYDER,V10,5204.0,640.0,325.0,3.1,287000.0,Petrol,2,600.0,1,Luxury (>200k)
LAMBORGHINI,URUS PERFORMANTE,V8,3996.0,641.0,305.0,3.3,242000.0,Petrol,5,850.0,1,Luxury (>200k)
LAMBORGHINI,HURACAN EVO RWD,V10,5204.0,610.0,325.0,3.3,258000.0,Petrol,2,560.0,1,Luxury (>200k)
LAMBORGHINI,URUS S,V8,3996.0,671.0,305.0,3.3,263000.0,Petrol,5,850.0,1,Luxury (>200k)
LAMBORGHINI,HURACAN EVO RWD SPYDER,V10,5204.0,610.0,325.0,3.3,273000.0,Petrol,2,600.0,1,Luxury (>200k)
LAMBORGHINI,URUS GRAPHITE CAPSULE,V8,3998.0,641.0,305.0,3.3,253000.0,Petrol,5,850.0,1,Luxury (>200k)
ROLLS ROYCE,CULLINAN SUV,V12,6749.0,563.0,250.0,5.2,320000.0,Petrol,5,850.0,1,Luxury (>200k)
MERCEDES,BENZ S-CLASS S 580,V8,3982.0,496.0,250.0,4.4,116000.0,Petrol,5,700.0,1,High (100k-200k)
MERCEDES,BENZ E-CLASS E 63 S,V8,3982.0,603.0,250.0,3.4,104000.0,Petrol,5,850.0,1,High (100k-200k)
MERCEDES,BENZ CLA 45 AMG,I4,1991.0,382.0,250.0,4.1,53000.0,Petrol,5,500.0,0,Medium (50k-100k)
MERCEDES,BENZ GLE 63 S,V8,3982.0,603.0,250.0,4.2,113000.0,Petrol,5,850.0,1,High (100k-200k)
MERCEDES,BENZ S-CLASS S 500,V6,2996.0,429.0,250.0,4.9,109000.0,Petrol,5,700.0,0,High (100k-200k)
MERCEDES,BENZ E-CLASS E 450 ,V6,2996.0,362.0,250.0,5.2,62000.0,Petrol,5,500.0,0,Medium (50k-100k)
MERCEDES,BENZ CLS 450,V6,2996.0,362.0,250.0,5.2,70000.0,Petrol,5,500.0,0,Medium (50k-100k)
MERCEDES,BENZ GT 53,V6,2996.0,429.0,250.0,4.5,99000.0,Petrol,5,700.0,0,Medium (50k-100k)
MERCEDES,BENZ GLE 450,V6,2996.0,362.0,250.0,5.5,63000.0,Petrol,5,500.0,0,Medium (50k-100k)
MERCEDES,BENZ A-CLASS A 45 S,I4,1991.0,416.0,250.0,3.9,53000.0,Petrol,5,500.0,0,Medium (50k-100k)
MERCEDES,BENZ C-CLASS C 43,V6,2996.0,402.0,250.0,4.7,52000.0,Petrol,5,520.0,0,Medium (50k-100k)
MERCEDES,BENZ E-CLASS E 350,I4,1991.0,255.0,250.0,5.7,49000.0,Petrol,5,500.0,0,Low (<50k)
MERCEDES,BENZ GLE 350 ,I4,1991.0,255.0,250.0,6.1,53000.0,Petrol,5,500.0,0,Medium (50k-100k)
MERCEDES,BENZ GLC 43,V6,2996.0,402.0,250.0,4.7,54000.0,Petrol,5,520.0,0,Medium (50k-100k)
MERCEDES,BENZ GLA 45,I4,1991.0,382.0,250.0,4.3,48000.0,Petrol,5,500.0,0,Low (<50k)
