Age,EdLevel,YearsCode,Country,Currency,LanguageHaveWorkedWith,Industry,OrgSize
18-24,Secondary school,3,Pakistan,PKR	Pakistani rupee,Assembly;Bash/Shell (all shells);C;C++;HTML/CSS;Java;JavaScript;Python;R;SQL;TypeScript,Software Development,100 to 499 employees
35-44,Master’s degree,15,Turkey,EUR European Euro,JavaScript;Julia;Python;SQL;TypeScript,Computer Systems Design and Services,20 to 99 employees
35-44,Master’s degree,22,France,EUR European Euro,Go;Java;Python;SQL;TypeScript,Software Development,"5,000 to 9,999 employees"
25-34,Attended college but no degree,7,USA,USD	United States dollar,HTML/CSS;JavaScript;Python;SQL;TypeScript,"Transportation, or Supply Chain",10 to 19 employees
35-44,Professional degree,32,UK and Northern Ireland,GBP	Pound sterling,C#;HTML/CSS;Java;JavaScript;MicroPython;Python;TypeScript,Retail and Consumer Services,"1,000 to 4,999 employees"
45-54,Attended college but no degree,38,USA,USD	United States dollar,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript,Healthcare,"1,000 to 4,999 employees"
45-54,Bachelor’s degree,30,Serbia,EUR European Euro,Delphi;SQL,Software Development,20 to 99 employees
35-44,Master’s degree,21,Greece,EUR European Euro,Java;JavaScript;Python,Software Development,20 to 99 employees
25-34,Master’s degree,10,Germany,EUR European Euro,C++;Rust,Higher Education,10 to 19 employees
25-34,Attended college but no degree,6,Italy,EUR European Euro,Bash/Shell (all shells);C#;Dart;JavaScript;Python;Rust;TypeScript,Healthcare,100 to 499 employees
35-44,Bachelor’s degree,20,UK and Northern Ireland,GBP	Pound sterling,HTML/CSS;JavaScript;TypeScript,Software Development,100 to 499 employees
18-24,Bachelor’s degree,9,Ukraine,USD	United States dollar,C++;Rust,Software Development,"1,000 to 4,999 employees"
25-34,Bachelor’s degree,20,USA,USD	United States dollar,Bash/Shell (all shells);Go;Python;Rust,Software Development,100 to 499 employees
35-44,Bachelor’s degree,25,USA,USD	United States dollar,Bash/Shell (all shells);C#;C++;Go;HTML/CSS;JavaScript;PowerShell;SQL,Retail and Consumer Services,20 to 99 employees
35-44,Secondary school,20,USA,USD	United States dollar,C#;Go;HTML/CSS;JavaScript;SQL;TypeScript,Software Development,10 to 19 employees
25-34,Bachelor’s degree,12,UK and Northern Ireland,GBP	Pound sterling,HTML/CSS;Java;JavaScript;Kotlin;SQL,Software Development,20 to 99 employees
25-34,Master’s degree,14,Germany,EUR European Euro,Go;Groovy;HTML/CSS;JavaScript;Python;SQL;TypeScript,Software Development,10 to 19 employees
25-34,Attended college but no degree,11,South Africa,ZAR	South African rand,C#;C++;Delphi;HTML/CSS;Java;JavaScript;PHP;Python;SQL;TypeScript,Software Development,100 to 499 employees
45-54,Professional degree,28,USA,USD	United States dollar,Bash/Shell (all shells);C;C++;Go,Software Development,"1,000 to 4,999 employees"
35-44,Master’s degree,16,Czech Republic,CZK	Czech koruna,C;HTML/CSS;JavaScript;Python,Software Development,"10,000 or more employees"
25-34,Master’s degree,18,France,EUR European Euro,C#;HTML/CSS;JavaScript;PowerShell;TypeScript,Software Development,2 to 9 employees
18-24,Bachelor’s degree,5,Lebanon,USD	United States dollar,Ruby;Swift,Fintech,500 to 999 employees
45-54,Master’s degree,30,Canada,CAD	Canadian dollar,C#;C++;F#;Rust,Software Development,"10,000 or more employees"
35-44,Master’s degree,28,Germany,EUR European Euro,C;Python,Software Development,100 to 499 employees
45-54,Attended college but no degree,37,Italy,EUR European Euro,Java;Python,Software Development,20 to 99 employees
25-34,Attended college but no degree,12,Brazil,BRL	Brazilian real,HTML/CSS;JavaScript;SQL;TypeScript,Manufacturing,100 to 499 employees
45-54,Bachelor’s degree,30,USA,USD	United States dollar,Bash/Shell (all shells);Java;SQL,Retail and Consumer Services,"10,000 or more employees"
25-34,Master’s degree,12,"Iran, Islamic Republic of...",IRR	Iranian rial,Go;HTML/CSS;Java;JavaScript;SQL;TypeScript,Software Development,10 to 19 employees
35-44,Professional degree,20,Germany,EUR European Euro,Bash/Shell (all shells);C;C++;HTML/CSS;JavaScript;Python;Rust;TypeScript,Software Development,100 to 499 employees
25-34,Associate degree,6,USA,USD	United States dollar,Bash/Shell (all shells);Java;JavaScript;TypeScript,"Internet, Telecomm or Information Services","10,000 or more employees"
35-44,Master’s degree,17,Russian Federation,RUB	Russian ruble,HTML/CSS;JavaScript;Python;TypeScript,"Internet, Telecomm or Information Services","1,000 to 4,999 employees"
25-34,Bachelor’s degree,12,Germany,EUR European Euro,Bash/Shell (all shells);Go;HTML/CSS;JavaScript;TypeScript,"Transportation, or Supply Chain","10,000 or more employees"
35-44,Attended college but no degree,18,France,EUR European Euro,HTML/CSS;JavaScript;PHP;TypeScript,Retail and Consumer Services,2 to 9 employees
35-44,Bachelor’s degree,36,Canada,CAD	Canadian dollar,HTML/CSS;Java;JavaScript;SQL;TypeScript,Healthcare,"1,000 to 4,999 employees"
25-34,Bachelor’s degree,12,India,INR	Indian rupee,Java;Kotlin,Software Development,100 to 499 employees
25-34,Bachelor’s degree,10,Dominican Republic,DOP	Dominican peso,Python;SQL,Government,"5,000 to 9,999 employees"
55-64,Bachelor’s degree,24,USA,USD	United States dollar,C#;HTML/CSS;JavaScript;SQL,Government,"1,000 to 4,999 employees"
25-34,Master’s degree,2,Ukraine,USD	United States dollar,C#;JavaScript;MATLAB,Software Development,10 to 19 employees
25-34,Associate degree,12,Ukraine,UAH	Ukrainian hryvnia,Bash/Shell (all shells);Objective-C;Rust;Swift,Software Development,100 to 499 employees
35-44,Bachelor’s degree,17,Ireland,EUR European Euro,Clojure;Rust,Software Development,20 to 99 employees
25-34,Bachelor’s degree,5,USA,USD	United States dollar,Ada;Apex;Assembly;Bash/Shell (all shells);C++;Dart;HTML/CSS;Java;JavaScript;Objective-C,Software Development,100 to 499 employees
55-64,Master’s degree,34,Italy,EUR European Euro,Bash/Shell (all shells);C;C++;Python,Manufacturing,500 to 999 employees
18-24,Bachelor’s degree,6,Germany,EUR European Euro,MATLAB;Python;R,Manufacturing,"10,000 or more employees"
45-54,Attended college but no degree,38,France,EUR European Euro,Bash/Shell (all shells);C;JavaScript;Perl;PHP;Python;SQL,Computer Systems Design and Services,2 to 9 employees
25-34,Master’s degree,14,Serbia,RSD	Serbian dinar,Bash/Shell (all shells);C#;C++;PowerShell,Software Development,20 to 99 employees
45-54,Bachelor’s degree,25,USA,USD	United States dollar,C#;HTML/CSS;JavaScript;PowerShell;SQL,Software Development,20 to 99 employees
25-34,Bachelor’s degree,20,USA,USD	United States dollar,C#;HTML/CSS;PowerShell;SQL;TypeScript,Software Development,"10,000 or more employees"
35-44,Master’s degree,23,Germany,EUR European Euro,C#;HTML/CSS;JavaScript;PowerShell;Python;Rust;SQL;TypeScript,Software Development,"10,000 or more employees"
35-44,Bachelor’s degree,15,Bolivia,USD	United States dollar,C#;JavaScript,"Transportation, or Supply Chain",100 to 499 employees
25-34,Master’s degree,16,France,EUR European Euro,Bash/Shell (all shells);Java;Python;Ruby;Scala;SQL,Media & Advertising Services,20 to 99 employees
18-24,Master’s degree,5,Morocco,MAD	Moroccan dirham,C#;C++;Python;SQL;TypeScript,Software Development,20 to 99 employees
35-44,Master’s degree,15,USA,USD	United States dollar,Bash/Shell (all shells);C++;Python,Government,"5,000 to 9,999 employees"
